0 Block of RINGOLD ST,34,2,1,10,LARCENY/THEFT,6244,5/25/2008 0:00,Sunday,GRAND THEFT FROM LOCKED AUTO,86040307,1/1/1900 11:00,2008,37.77398143,-122.4103441,SOUTHERN,NONE,32,0,South of Market,"-122.4103441, 37.77398143",1
0 Block of CORTLAND AV,2,1,9,2,MISSING PERSON,75000,8/31/2013 0:00,Saturday,FOUND PERSON,130728352,1/1/1900 10:30,2013,37.74043974,-122.421243,INGLESIDE,LOCATED,83,2,Bernal Heights,"-122.421243, 37.74043974",1
MISSION ST / 6TH ST,34,2,1,10,OTHER OFFENSES,65015,10/20/2010 0:00,Wednesday,TRAFFIC VIOLATION,100977294,1/1/1900 22:30,2010,37.78097067,-122.4087106,SOUTHERN,"ARREST, CITED",32,3,South of Market,"-122.4087106, 37.78097067",1
3300 Block of MORAGA ST,35,1,10,7,BURGLARY,5041,7/18/2006 0:00,Tuesday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",60760670,1/1/1900 10:30,2006,37.75507208,-122.4985729,TARAVAL,NONE,39,0,Sunset/Parkside,"-122.4985729, 37.75507208",1
16TH ST / SHOTWELL ST,20,2,3,2,DISORDERLY CONDUCT,27110,7/22/2005 0:00,Friday,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,50817861,1/1/1900 11:15,2005,37.76524912,-122.4163897,MISSION,"ARREST, BOOKED",53,1,Mission,"-122.4163897, 37.76524912",1
5600 Block of 3RD ST,1,2,2,9,NON-CRIMINAL,61030,3/9/2012 0:00,Friday,"DEATH REPORT, CAUSE UNKNOWN",120194917,1/1/1900 4:30,2012,37.72664013,-122.3938703,BAYVIEW,NONE,86,3,Bayview Hunters Point,"-122.3938703, 37.72664013",1
4100 Block of 18TH ST,5,1,3,5,LARCENY/THEFT,6114,4/10/2009 0:00,Friday,GRAND THEFT PICKPOCKET,90386569,1/1/1900 23:25,2009,37.76080106,-122.435563,MISSION,NONE,38,0,Castro/Upper Market,"-122.435563, 37.76080106",1
1700 Block of HAIGHT ST,3,1,7,11,DISORDERLY CONDUCT,19010,1/24/2012 0:00,Tuesday,COMMITTING PUBLIC NUISANCE,120066247,1/1/1900 18:11,2012,37.76950461,-122.4513144,PARK,"ARREST, BOOKED",25,1,Haight Ashbury,"-122.45131440000002, 37.76950461",1
1300 Block of COLUMBUS AV,23,2,6,3,LARCENY/THEFT,6342,1/13/2004 0:00,Tuesday,PETTY THEFT COIN OPERATED MACHINE,40054766,1/1/1900 20:00,2004,37.80615159,-122.4185371,CENTRAL,NONE,99,0,North Beach,"-122.4185371, 37.80615159",1
0 Block of 6TH ST,34,2,5,10,OTHER OFFENSES,26170,10/26/2003 0:00,Sunday,PROBATION VIOLATION,31257397,1/1/1900 1:32,2003,37.78195365,-122.4100416,SOUTHERN,"ARREST, BOOKED",32,3,South of Market,"-122.4100416, 37.78195365",1
STOCKTON ST / SACRAMENTO ST,6,2,6,3,LARCENY/THEFT,6112,6/20/2011 0:00,Monday,GRAND THEFT PICKPOCKET,110496626,1/1/1900 16:45,2011,37.7931773,-122.4077298,CENTRAL,NONE,16,0,Chinatown,"-122.4077298, 37.7931773",1
GENEVA AV / MISSION ST,7,2,9,1,ROBBERY,3074,2/6/2010 0:00,Saturday,"ROBBERY, BODILY FORCE",100129398,1/1/1900 12:30,2010,37.71645868,-122.4410181,INGLESIDE,NONE,58,0,Excelsior,"-122.44101809999998, 37.71645868",1
MARKET ST / CHURCH ST,5,1,3,5,OTHER OFFENSES,65015,5/9/2003 0:00,Friday,TRAFFIC VIOLATION,30570932,1/1/1900 16:00,2003,37.76750273,-122.42895,NORTHERN,"ARREST, CITED",37,3,Castro/Upper Market,"-122.42895, 37.76750273",1
0 Block of WESTVIEW AV,25,2,2,2,ASSAULT,19057,12/16/2012 0:00,Sunday,THREATS AGAINST LIFE,121011738,1/1/1900 7:01,2012,37.73114028,-122.4182401,BAYVIEW,"ARREST, BOOKED",92,0,Portola,"-122.41824009999998, 37.73114028",1
100 Block of JACKSON ST,8,1,6,3,LARCENY/THEFT,6360,7/13/2003 0:00,Sunday,ATTEMPTED SHOPLIFTING,30832817,1/1/1900 9:15,2003,37.79695357,-122.3989195,CENTRAL,NONE,77,0,Financial District/South Beach,"-122.3989195, 37.79695357",1
18TH AV / PACHECO ST,14,1,10,8,MOTOR VEHICLE THEFT,7021,12/9/2011 0:00,Friday,STOLEN AUTOMOBILE,110987697,1/1/1900 18:00,2011,37.75055539,-122.475145,TARAVAL,NONE,44,0,Inner Sunset,"-122.475145, 37.75055539",1
2300 Block of 35TH AV,35,1,10,7,OTHER OFFENSES,65016,6/16/2007 0:00,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",70608305,1/1/1900 10:45,2007,37.74320825,-122.4929701,TARAVAL,"ARREST, CITED",40,3,Sunset/Parkside,"-122.4929701, 37.74320825",1
2400 Block of 35TH AV,35,1,10,7,LARCENY/THEFT,6234,4/25/2012 0:00,Wednesday,GRAND THEFT AUTO STRIP,120331460,1/1/1900 22:00,2012,37.74134664,-122.4927012,TARAVAL,NONE,40,0,Sunset/Parkside,"-122.4927012, 37.74134664",1
100 Block of NAGLEE AV,28,2,9,1,MISSING PERSON,74000,10/3/2008 0:00,Friday,MISSING ADULT,81055680,1/1/1900 9:00,2008,37.71297862,-122.447722,INGLESIDE,NONE,66,2,Outer Mission,"-122.447722, 37.71297862",1
