Neighborhood,Year,Num of Total Incidents,Num of Assaults,Num of Burglaries,Num of Disorderly Conduct Offenses,Num of Drug/Narcotic Offenses,Num of Fraud Offenses,Num of Larceny/Theft Offenses,Num of Malicious Mischief Offenses,Number of Missing Persons,Num of Motor Vehicle Thefts,Num of Non-Criminal Offenses,Num of Robberies,Num of Suspicious Occ,Num of Vandalism Offenses,Num of Warrants,Num of Weapons Offenses,Num of Severity Category 0,Num of Severity Category 1,Num of Severity Category 2,Num of Severity Category 3,Num of Pit Stops,Location Coordinates,Latitude,Longitude,Location ID
All,2003,64622,5861,2592,402,4361,1480,11722,0,903,6844,5806,1338,1883,2829,4027,535,29262,15410,903,19047,0,,,,
Bayview Hunters Point,2003,4385,565,185,10,312,45,398,0,75,499,296,98,138,207,302,69,1866,901,75,1543,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2003,1670,142,97,6,68,51,345,0,16,234,155,31,55,84,97,11,866,362,16,426,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2003,4011,266,219,22,74,145,1440,0,33,238,359,69,106,122,181,12,2263,742,33,973,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2003,564,38,1,1,52,1,152,0,3,78,69,6,9,19,48,6,276,99,3,186,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2003,1088,65,56,17,82,19,215,0,25,169,85,22,34,47,52,11,534,271,25,258,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2003,762,58,43,3,8,31,141,0,26,124,65,7,29,45,32,7,383,157,26,196,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2003,8136,664,206,82,915,115,1007,0,91,703,688,188,176,265,567,60,2861,2270,91,2914,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2003,1343,104,57,13,27,50,365,0,9,114,170,18,42,49,72,9,675,274,9,385,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2003,7150,531,149,46,649,196,1593,0,60,366,807,116,154,225,634,40,2825,1715,60,2550,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
