Incident Year,Neighborhood Name,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,CASE CLOSURE,CIVIL SIDEWALKS,COURTESY REPORT,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FIRE REPORT,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,HOMICIDE,"HUMAN TRAFFICKING (B), INVOLUNTARY SERVITUDE","HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,LOST PROPERTY,MALICIOUS MISCHIEF,MISCELLANEOUS INVESTIGATION,MISSING PERSON,MOTOR VEHICLE THEFT,NON-CRIMINAL,OFFENCES AGAINST THE FAMILY AND CHILDREN,OTHER MISCELLANEOUS,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RAPE,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSE,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS,SUSPICIOUS OCC,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,TREA,TRESPASS,VANDALISM,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WARRANTS,WEAPONS OFFENSE,missing,NUMBER OF PIT STOPS
2003,Bayview Hunters Point,34,565,3,0,185,0,0,0,10,2,312,11,7,1,0,37,45,2,0,0,0,12,398,7,4,0,0,0,75,499,296,8,0,944,0,2,0,0,98,70,0,17,3,7,1,0,138,0,0,0,14,207,0,0,302,69,0,0
2003,Castro/Upper Market,1,142,0,0,97,0,0,0,6,1,68,3,3,0,0,33,51,0,0,0,0,1,345,1,2,0,0,0,16,234,155,2,0,173,0,0,0,0,31,10,0,6,0,18,1,0,55,0,0,0,23,84,0,0,97,11,0,0
2003,Financial District/South Beach,2,266,10,0,219,0,0,0,22,3,74,25,13,1,0,78,145,0,0,0,0,4,1440,3,18,0,0,0,33,238,359,1,0,430,0,1,0,0,69,20,0,9,0,29,3,0,106,0,0,0,75,122,0,0,181,12,0,0
2003,Golden Gate Park,1,38,0,0,1,0,0,0,1,3,52,3,0,0,0,2,1,0,0,0,0,1,152,0,0,0,0,0,3,78,69,0,0,69,0,0,0,0,6,0,0,0,1,1,0,0,9,0,0,0,0,19,0,0,48,6,0,0
2003,Haight Ashbury,1,65,0,0,56,0,0,0,17,3,82,24,1,0,0,14,19,0,0,0,0,2,215,2,6,0,0,0,25,169,85,0,0,121,0,0,0,0,22,3,0,3,0,4,0,0,34,0,0,0,5,47,0,0,52,11,0,0
2003,Mission,7,664,6,0,206,0,0,0,82,21,915,32,11,0,0,112,115,0,0,0,0,13,1007,19,7,0,0,0,91,703,688,3,0,1653,1,327,0,0,188,47,0,39,0,25,6,0,176,0,0,0,80,265,0,0,567,60,0,0
2003,North Beach,0,104,1,1,57,0,0,0,13,5,27,24,3,0,0,19,50,1,0,0,0,0,365,8,1,0,0,0,9,114,170,0,0,143,0,0,0,0,18,13,0,4,0,4,0,0,42,0,0,0,17,49,0,0,72,9,0,0
2003,South of Market,7,531,5,1,149,0,0,0,46,15,649,31,18,1,0,140,196,0,0,0,0,11,1593,17,9,0,0,0,60,366,807,5,0,1106,0,5,0,0,116,30,0,33,1,48,3,0,154,0,0,0,98,225,0,0,634,40,0,0
2003,Sunset/Parkside,6,161,2,0,104,0,0,0,6,6,23,2,2,0,0,38,58,0,0,0,0,4,249,1,1,0,0,0,43,275,221,1,0,197,0,6,0,0,34,23,0,13,0,9,5,0,82,0,0,0,10,134,0,0,40,14,0,0
2003,Tenderloin,5,760,3,0,126,0,0,0,27,10,1440,56,14,1,0,137,120,3,0,0,0,18,802,25,19,0,0,0,48,233,595,4,0,1236,0,283,0,0,181,46,0,30,0,40,2,0,171,0,0,0,91,177,0,0,869,73,0,0
2004,Bayview Hunters Point,22,541,2,4,152,0,0,0,7,6,411,13,5,4,0,59,44,0,0,0,0,14,347,10,8,0,0,0,87,551,292,7,0,940,0,1,0,0,96,77,0,19,3,14,1,0,158,0,0,0,27,228,0,0,330,92,0,0
2004,Castro/Upper Market,0,122,1,1,89,0,0,0,6,5,74,14,2,1,0,32,38,0,0,0,0,2,344,0,0,0,0,0,19,304,161,0,0,154,0,0,0,0,27,13,0,5,0,11,1,0,50,0,0,0,15,94,0,0,83,11,0,0
2004,Financial District/South Beach,1,222,1,0,235,0,0,0,26,5,50,15,16,2,0,77,123,0,0,0,0,2,1346,4,2,0,0,0,22,253,384,2,0,286,0,2,0,0,62,19,0,11,0,21,0,0,107,0,0,0,48,118,0,0,159,16,0,0
2004,Golden Gate Park,3,36,0,0,6,0,0,0,3,1,48,1,0,0,0,1,6,0,0,0,0,0,100,3,0,0,0,0,5,62,64,0,0,67,0,0,0,0,8,0,0,3,0,0,0,0,16,0,0,0,1,11,0,0,48,7,0,0
2004,Haight Ashbury,1,85,0,1,89,0,0,0,21,0,76,21,0,0,0,18,29,0,0,0,0,1,177,9,4,0,0,0,30,186,101,0,0,110,0,0,0,0,25,8,0,0,0,2,1,0,27,0,0,0,5,65,0,0,93,7,0,0
