Year,Neighborhood,Total Population,% Female,% Male,Total Num of Households,% Family Households,% Households with Children,% Non-Family Households,% Single Person Households,Avg Household Size,Avg Family Household Size,% Black/African American,% Asian,% White,% Native American Indian,% Native Hawaiian/Pacific Islander,% Other/Two or More Races,% Latino (of Any Race),% 0-4 years,% 5-17 years,% 18-34 years,% 35-59 years,% 60 and older,Median Age (years),% High School or Less,% Some College/Associate Degree,% College Degree,% Graduate/Professional Degree,% Foreign Born,% English Only Spoken at Home,% Spanish Only Spoken at Home,% Asian/Pacific Islander Language Spoken at Home,% Other European Language Spoken at Home,% Other Languages Spoken at Home,Total Num of Housing Units,Num of Units Built During 2010,Median Year Structure Built,% Occupied Units,% Vacant Units,% Owner Occupied Units,% Renter Occupied Units,Median Year Moved In to Unit (Own),Median Year Moved In to Unit (Rent),% in Same House Last Year,% Single Family Housing,% 2-4 Units,% 5-9 Units,% 10-19 Units,% 20 Units or more,Median Rent ($),Median Home Value ($),Median Rent as % of Household Income,Vehicles Available,% Homeowners who Own Cars,% Renters who Own Cars,Num of Households With No Vehicle,% Homeowning Households With No Vehicle,% Renting Households With No Vehicle,Median Household Income ($),Median Family Income ($),Per Capita Income ($),% in Poverty,Unemployment Rate (%),Num of Employed Residents,% Managerial and Professional Occupations,% Service Occupations,% Sales and Office Occupations,% Construction and Maintenance Occupations,% Production and Transportation Occupations,Num of Workers 16 years and over,% Workers who Drove a Car to Work,% Workers Who Drove Alone,% Workers Who Carpooled,% Workers Who Used Transit,% Workers Who Rode a Bike to Work,% Workers Who Walked to Work,% Workers Who Used Other Transportation,% Workers Who Worked at Home,Population Density per Acre
2010,All,805240,49,51,345810,44,18,54,39,2.3,3.3,6,33,48,0.5,0.4,11,15,4,9,30,37,19,,29,20,31,20,36,55,12,27,6,1,376940,1230,1939,92,8,38,62,1996,2005,,33,21,10,10,25,1264,785191,26,364930,55,45,99750,9,42,71416,86668,45478,12,7,444630,50,17,22,5,6,433670,46,38,8,33,3,10,2,7,
2010,Bayview Hunters Point,35890,51,49,10270,73,43,27,23,3.5,4.2,32,33,12,0.7,2.5,20,26,8,18,25,33,15,,53,29,12,6,35,50,21,28,1,1,11430,140,1953,90,10,49,51,1994,2004,,67,14,6,5,8,796,571637,30,14220,64,36,2190,9,33,44962,50511,20765,20,13,14600,24,27,24,12,13,13980,63,52,11,29,0,4,2,2,
2010,Castro/Upper Market,19790,36,64,10880,22,9,79,48,1.8,2.7,2,10,80,0.4,0.1,8,8,3,4,27,52,14,,9,17,42,32,16,81,6,5,8,0,11790,0,1939,92,8,38,62,2000,2004,,27,41,15,8,10,1555,970551,25,11030,52,48,2830,8,36,101439,142079,73839,7,6,13870,70,8,19,3,1,13620,39,34,6,40,4,8,2,7,
2010,Tenderloin,44240,40,60,25000,21,6,74,64,1.6,3,10,28,46,1,0.4,15,19,2,5,35,37,21,,39,26,24,11,42,51,15,25,7,2,27780,50,1939,90,10,4,96,2002,2006,,2,2,2,9,85,841,513578,30,4110,12,88,18610,51,83,24035,31040,25848,28,10,18270,38,32,23,3,4,17700,13,12,1,45,4,27,1,9,
2010,Financial District/South Beach,1780,45,55,1010,29,7,73,60,1.6,2.7,6,47,39,0.6,0.2,7,6,0,7,24,48,21,,41,25,27,7,41,54,3,38,2,2,1420,-10,1939,71,29,6,94,2008,2004,,2,1,0,6,86,767,1000000,35,320,8,92,630,68,68,23364,23571,27841,30,5,700,34,26,20,0,20,680,16,13,4,20,1,60,0,3,
2010,Haight Ashbury,21800,49,51,10520,31,13,68,41,2,2.8,5,10,77,0.4,0.1,8,10,5,5,45,36,10,,10,18,43,28,16,82,6,4,7,1,11300,10,1939,93,7,29,71,2000,2006,,15,41,22,14,9,1475,944250,25,10480,44,56,3360,9,41,89932,128729,58203,11,5,15430,67,11,18,3,1,15260,32,27,5,42,7,8,3,8,
2010,Inner Sunset,26520,52,48,11860,46,15,54,34,2.2,2.9,2,33,58,0.2,0.1,7,6,5,7,34,36,18,,13,18,36,33,29,64,3,23,8,1,12650,10,1946,94,6,41,59,1993,2006,,40,31,12,9,8,1500,881335,25,15760,48,52,1600,7,18,88720,108858,52938,8,4,16300,68,10,17,2,3,16010,50,41,10,30,3,8,2,7,
2010,Mission,57300,45,55,23230,37,17,59,36,2.4,3.6,4,13,57,1.3,0.3,25,41,4,8,38,36,13,,36,17,30,18,40,47,37,11,5,0,24850,120,1939,93,7,26,74,2001,2004,,26,29,15,13,17,1106,745053,26,19350,39,61,9120,12,50,63319,55864,38378,13,6,35810,44,22,20,8,7,35350,30,23,6,43,8,12,2,5,
2010,North Beach,14860,49,51,8270,34,7,62,50,1.8,2.8,3,37,54,0.1,0.2,5,6,2,5,35,33,25,,27,14,35,24,38,58,4,31,6,1,9420,0,1958,88,12,21,79,1996,2004,,6,27,14,8,45,1463,872475,26,5620,30,70,3180,15,47,70925,82432,58650,15,7,8700,58,15,22,2,3,8510,28,25,4,26,1,36,1,7,
2010,Sunset/Parkside,25920,52,48,8970,68,28,27,18,2.9,3.5,1,58,35,0.2,0.2,6,6,5,11,22,37,24,,36,20,31,13,45,40,4,48,7,1,9390,0,1944,96,4,66,34,1991,2003,,79,15,4,2,0,1386,724739,26,14410,69,31,1040,9,19,86881,99667,33473,8,8,13220,44,16,24,6,9,12700,64,54,10,25,1,3,1,6,
