name,Address,Hours,Neighborhood,location,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Year Built
Tenderloin Pit Stop,388 Ellis St.   Tenderloin Pit Stop Daily,Open 24 hours,Tenderloin,POINT (-122.4125627 37.785102),20,20,5,10,36,2014
Tenderloin Pit Stop,101 Hyde St.,Daily Open 24 hours,Tenderloin,POINT (-122.4157029 37.7827735),20,20,5,10,36,2014
Tenderloin Pit Stop,133 Golden Gate Ave. and Jones St.,Daily Open 24 hours,Tenderloin,POINT (-122.4118191 37.7821121),20,20,5,10,36,2014
Castro Pit Stop,Market and Castro streets (JCDecaux),Open 24 Hours,Castro/Upper Market,POINT (-122.4348053 37.7627732),38,38,3,5,5,2015
Mission Pit Stop,16th and Mission streets (JCDecaux),Daily 24 hours,Mission,POINT (-122.4200173 37.7649465),53,53,3,2,20,2015
Castro Pit Stop,Market and Church streets (JCDecaux),Daily 9am to 8pm,Castro/Upper Market,POINT (-122.4278775 37.7686115),28,28,7,5,5,2015
SoMa Pit Stop,6th and Jessie streets,Open 24 Hours,South of Market,POINT (-122.4093246 37.781509),32,32,5,10,34,2015
Haight Ashbury Pit Stop,Stanyan and Waller streets (JCDecaux)   Haight Ashbury Pit Stop Daily,Open 24 hours,Golden Gate Park,POINT (-122.4534175 37.7682426),9,9,7,11,12,2016
Bayview Pit Stop,Mendell Plaza   Bayview Pit Stop Daily,Open 24 hours,Bayview Hunters Point,POINT (-122.3908134 37.7340389),86,86,2,9,1,2016
Tenderloin Pit Stop,Eddy St. and Jones St.,Open 24 Hours,Tenderloin,POINT (-122.4122697 37.7841238),20,20,5,10,36,2016
Civic Center Pit Stop,Grove and Larkin streets (JCDecaux),Daily Open 24 hours,Tenderloin,POINT (-122.4165416 37.778931),21,21,5,10,36,2016
SoMa Pit Stop,Victoria Manalo Draves Park (Rec Park),Daily   8am to 8pm,South of Market,POINT (-122.4060242 37.7767602),32,32,1,10,34,2016
Haight Ashbury Pit Stop,Haight and Buena Vista Ave West   CLOSED FOR SERVICE,,Haight Ashbury,POINT (-122.4404302 37.7708165),112,112,7,5,3,2016
Florida Street & Division Street,Florida Street & Division Street Daily,Open 24 hours,Mission,POINT (-122.4117875 37.768711),53,53,3,2,20,2016
Mission Pit Stop,24th and Mission (JCDecaux),Daily 24 hours,Mission,POINT (-122.4185771 37.7521752),53,53,3,2,20,2016
Mid-Market Pit Stop,U.N. Plaza (JCDecaux)   Mid Market Pit Stop Daily,Open 24 hours,Tenderloin,POINT (-122.4130822 37.7801432),21,21,5,10,36,2016
Mid-Market Pit Stop,Hallidie Plaza (JCDecaux)   Mid Market Pit Stop Daily,Open 24 hours,Tenderloin,POINT (-122.4077797 37.7844142),19,19,5,3,36,2016
Mission Pit Stop,Mission and 18th streets,Mon Fri 12pm to 7pm,Mission,POINT (-122.4193132 37.7618327),53,53,3,2,20,2017
Tenderloin Pit Stop,Eddy St. and Larkin St.   Tenderloin Pit Stop Daily,Open 24 hours,Tenderloin,POINT (-122.41769 37.783353),20,20,5,10,36,2017
Mission Pit Stop,16th and Capp streets,Mon Fri 10:30am to 5:30pm,Mission,POINT (-122.4187982 37.7651596),53,53,3,2,20,2017
Lower Polk,Myrtle and Larkin streets (JCDecaux)   Lower Polk Daily,Open 24 hours,Tenderloin,POINT (-122.4180901 37.7855716),20,20,5,10,36,2018
Ocean Beach Pit Stop,Great Highway near Beach Chalet,Mon Fri   11am to 6pm,Golden Gate Park,POINT (-122.5107794 37.7675953),9,9,8,4,12,2019
Embarcadero Pit Stop,Embarcadero Plaza (JCDecaux),Daily Open 24 hours,Financial District/South Beach,POINT (-122.394598 37.7946278),108,108,6,3,8,2019
Outer Sunset Pit Stop,Judah and La Playa streets (Rec Park),Daily 8am to 8pm,Sunset/Parkside,POINT (-122.5091618 37.7603081),39,39,10,7,35,2019
North Beach Pit Stop,Washington Square at Union St. (JCDecaux),Daily 9am to 8pm,North Beach,POINT (-122.4097323 37.8004679),106,106,6,3,23,2019
110 Main St,110 Main St Daily,Open 24 hours,Financial District/South Beach,POINT (-122.3943099 37.7910771),108,108,1,10,8,2020
